あいいちろう Aiichirou
あいさぶろう Aisaburou
あいざぶろう Aizaburou
あいじろう Aijirou
あいすけ Aisuke
あいたろう Aitarou
あいにちろう Ainichirou
あいのすけ Ainosuke
あいひこ Aihiko
あいよし Aiyoshi
あいろう Airou
あえいちろう Aeichirou
あえひこ Aehiko
あおし Aoshi
あかしせいざぶろう Akashiseizaburou
あかたろう Akatarou
あかひこ Akahiko
あきいち Akiichi
あきお Akio
あきかず Akikazu
あきごろう Akigorou
あきさぶろう Akisaburou
あきじ Akiji
あきじろう Akijirou
あきたろう Akitarou
あきつぐ Akitsugu
あきと Akito
あきとし Akitoshi
あきとも Akitomo
あきなお Akinao
あきなり Akinari
あきのすけ Akinosuke
あきのぶ Akinobu
あきのり Akinori
あきはる Akiharu
あきひこ Akihiko
あきひさ Akihisa
あきひで Akihide
あきひと Akihito
あきひら Akihira
あきひろ Akihiro
あきふみ Akifumi
あきまさ Akimasa
あきみち Akimichi
あきみつ Akimitsu
あきやす Akiyasu
あきよし Akiyoshi
あきら Akira
あきろう Akirou
あくたろう Akutarou
あけじろう Akejirou
あけとし Aketoshi
あけのぶ Akenobu
あけのり Akenori
あけはる Akeharu
あけひこ Akehiko
あけひろ Akehiro
あけふみ Akefumi
あけぼの Akebono
あけみつ Akemitsu
あけみろう Akemirou
あさいち Asaichi
あさいちろう Asaichirou
あさかず Asakazu
あさき Asaki
あさごろう Asagorou
あささぶろう Asasaburou
あさしろう Asashirou
あさじろう Asajirou
あさすけ Asasuke
あさたろう Asatarou
あさと Asato
あさとし Asatoshi
あさのすけ Asanosuke
あさひ Asahi
あさひこ Asahiko
あさひたろう Asahitarou
あさよし Asayoshi
あさろう Asarou
あじのすけ Ajinosuke
あちのすけ Achinosuke
あついちろう Atsuichirou
あつお Atsuo
あつき Atsuki
あつごろう Atsugorou
あつし Atsushi
あつしろう Atsushirou
あつじ Atsuji
あつじろう Atsujirou
あつたか Atsutaka
あつただ Atsutada
あつたろう Atsutarou
あつと Atsuto
あつとし Atsutoshi
あつとも Atsutomo
あつのすけ Atsunosuke
あつのぶ Atsunobu
あつのり Atsunori
あつはる Atsuharu
あつひこ Atsuhiko
あつひさ Atsuhisa
あつひで Atsuhide
あつひと Atsuhito
あつひろ Atsuhiro
あつふみ Atsufumi
あつゆき Atsuyuki
あつよし Atsuyoshi
あつろう Atsurou
あとじろう Atojirou
あのひこ Anohiko
あひこ Ahiko
あまひこ Amahiko
あめたろう Ametarou
あめひこ Amehiko
あやお Ayao
あやた Ayata
あやたろう Ayatarou
あやと Ayato
あやとし Ayatoshi
あやのすけ Ayanosuke
あやひこ Ayahiko
あやひと Ayahito
あやめ Ayame
あゆたろう Ayutarou
あゆと Ayuto
あゆとし Ayutoshi
あゆひこ Ayuhiko
あゆむ Ayumu
あゆろう Ayurou
あらごろう Aragorou
あらじろう Arajirou
あらた Arata
あらたろう Aratarou
ありいち Ariichi
ありつぐ Aritsugu
ありと Arito
ありとし Aritoshi
ありのすけ Arinosuke
ありのぶ Arinobu
ありはる Ariharu
ありひこ Arihiko
ありひさ Arihisa
ありひで Arihide
ありひと Arihito
ありひろ Arihiro
ありふみ Arifumi
ありぶみ Aribumi
ありまさ Arimasa
ありやす Ariyasu
ありよし Ariyoshi
ありろう Arirou
あろう Arou
いいちろう Iichirou
いいひこ Iihiko
いいろう Iirou
いえかず Iekazu
いえとし Ietoshi
いえひこ Iehiko
いえよし Ieyoshi
いおひこ Iohiko
いおり Iori
いきちろう Ikichirou
いくいちろう Ikuichirou
いくお Ikuo
いくさぶろう Ikusaburou
いくしろう Ikushirou
いくじろう Ikujirou
いくたろう Ikutarou
いくと Ikuto
いくとし Ikutoshi
いくとも Ikutomo
いくのすけ Ikunosuke
いくのぶ Ikunobu
いくひこ Ikuhiko
いくひろ Ikuhiro
いくふみ Ikufumi
いくま Ikuma
いくや Ikuya
いくよし Ikuyoshi
いくろう Ikurou
いごろう Igorou
いさお Isao
いさたろう Isatarou
いさと Isato
いさひこ Isahiko
いさぶろう Isaburou
いさむ Isamu
いさよし Isayoshi
いざえもん Izaemon
いしごろう Ishigorou
いしたろう Ishitarou
いしつぐ Ishitsugu
いしのすけ Ishinosuke
いしひこ Ishihiko
いしろう Ishirou
いじゅうろう Ijuurou
いじろう Ijirou
いずたろう Izutarou
いずひこ Izuhiko
いずろう Izurou
いせごろう Isegorou
いそごろう Isogorou
いそさぶろう Isosaburou
いそしろう Isoshirou
いそじゅうろう Isojuurou
いそじろう Isojirou
いそのすけ Isonosuke
いそろう Isorou
いたる Itaru
いたろう Itarou
いちごろう Ichigorou
いちさぶろう Ichisaburou
いちざえもん Ichizaemon
いちしろう Ichishirou
いちじゅうろう Ichijuurou
いちじゅろう Ichijurou
いちじろう Ichijirou
いちたろう Ichitarou
いちどう Ichidou
いちのすけ Ichinosuke
いちひこ Ichihiko
いちや Ichiya
いちよし Ichiyoshi
いちろう Ichirou
いちろうざえもん Ichirouzaemon
いっぱちろう Ippachirou
いっぺきろう Ippekirou
いつお Itsuo
いつさぶろう Itsusaburou
いつし Itsushi
いつじろう Itsujirou
いつと Itsuto
いつひこ Itsuhiko
いつや Itsuya
いつよし Itsuyoshi
いつろう Itsurou
いとし Itoshi
いとひこ Itohiko
いなじろう Inajirou
いぬひこ Inuhiko
いねじろう Inejirou
いねたろう Inetarou
いのいちろう Inoichirou
いのごろう Inogorou
いのすけ Inosuke
いのひこ Inohiko
いはちろう Ihachirou
いまいちろう Imaichirou
いましろう Imashirou
いまたろう Imatarou
いまひこ Imahiko
いものすけ Imonosuke
いよし Iyoshi
いりひこ Irihiko
いわいちろう Iwaichirou
いわお Iwao
いわごろう Iwagorou
いわさぶろう Iwasaburou
いわじろう Iwajirou
いわたろう Iwatarou
いわのすけ Iwanosuke
いわひこ Iwahiko
いわよし Iwayoshi
いわろう Iwarou
ういち Uichi
ういちろう Uichirou
ういひこ Uihiko
ういろう Uirou
うえまつのりやす Uematsu Noriyasu
うかひこ Ukahiko
うきくろう Ukikurou
うきちろう Ukichirou
うきひこ Ukihiko
うきょうのすけ Ukyounosuke
うさじ Usaji
うさひこ Usahiko
うさぶろう Usaburou
うざえもん Uzaemon
うしごろう Ushigorou
うしさぶろう Ushisaburou
うしじろう Ushijirou
うしたろう Ushitarou
うしのすけ Ushinosuke
うしひこ Ushihiko
うしろう Ushirou
うじとし Ujitoshi
うじよし Ujiyoshi
うじろう Ujirou
うすたろう Usutarou
うずひこ Uzuhiko
うたごろう Utagorou
うたのすけ Utanosuke
うたひこ Utahiko
うたよし Utayoshi
うたろう Utarou
うだろう Udarou
うちひこ Uchihiko
うつひこ Utsuhiko
うづひこ Uzuhiko
うなひこ Unahiko
うにろう Unirou
うねひこ Unehiko
うのすけ Unosuke
うのまつ Unomatsu
うはちろう Uhachirou
うひこ Uhiko
うまきち Umakichi
うまごろう Umagorou
うまじろう Umajirou
うまたろう Umatarou
うまのすけ Umanosuke
うまひこ Umahiko
うみたろう Umitarou
うみと Umito
うみひこ Umihiko
うめいちろう Umeichirou
うめごろう Umegorou
うめさぶろう Umesaburou
うめしろう Umeshirou
うめじろう Umejirou
うめたろう Umetarou
うめのすけ Umenosuke
うめひこ Umehiko
うめよし Umeyoshi
うらごろう Uragorou
うらしろう Urashirou
うらたろう Uratarou
うらひこ Urahiko
うろう Urou
うわひこ Uwahiko
うんごろう Ungorou
うんじゅうろう Unjuurou
うんじろう Unjirou
うんたろう Untarou
うんのすけ Unnosuke
うんぱちろう Unpachirou
えいいち Eiichi
えいいちろう Eiichirou
えいき Eiki
えいきち Eikichi
えいきちろう Eikichirou
えいごろう Eigorou
えいさぶろう Eisaburou
えいざえもん Eizaemon
えいざぶろう Eizaburou
えいしちろう Eishichirou
えいしろう Eishirou
えいじ Eiji
えいじゅうろう Eijuurou
えいじゅろう Eijurou
えいじろう Eijirou
えいすけ Eisuke
えいた Eita
えいたろう Eitarou
えいとしろう Eitoshirou
えいのすけ Einosuke
えいはちろう Eihachirou
えいひこ Eihiko
えいろう Eirou
ええいち Eeichi
えきさぶろう Ekisaburou
えきのすけ Ekinosuke
えきろう Ekirou
えぎ Egi
えさぶろう Esaburou
えださぶろう Edasaburou
えだたろう Edatarou
えだひこ Edahiko
えつかず Etsukazu
えつさぶろう Etsusaburou
えつし Etsushi
えつしろう Etsushirou
えつじろう Etsujirou
えつたろう Etsutarou
えつひこ Etsuhiko
えつよし Etsuyoshi
えつろう Etsurou
えのすけ Enosuke
えひこ Ehiko
えびさぶろう Ebisaburou
えびじゅうろう Ebijuurou
えみひこ Emihiko
えりひこ Erihiko
えんいち En'ichi
えんいちろう En'ichirou
えんごろう Engorou
えんざえもん Enzaemon
えんざぶろう Enzaburou
えんじゅうろう Enjuurou
えんじろう Enjirou
えんたろう Entarou
えんのすけ Ennosuke
えんろう Enrou
おういちろう Ouichirou
おうじろう Oujirou
おうたろう Outarou
おうひこ Ouhiko
おうろう Ourou
おおひこ Oohiko
おかじゅうろう Okajuurou
おかたろう Okatarou
おかひこ Okahiko
おきごろう Okigorou
おきさぶろう Okisaburou
おきじろう Okijirou
おきつぐ Okitsugu
おきと Okito
おきとも Okitomo
おきのすけ Okinosuke
おきひこ Okihiko
おきひろ Okihiro
おきふみ Okifumi
おきまさ Okimasa
おきよし Okiyoshi
おくさぶろう Okusaburou
おくろう Okurou
おぐりこうずけのすけ Ogurikouzukenosuke
おさひこ Osahiko
おさむ Osamu
おさらぎじろう Osaragijirou
おしろう Oshirou
おつじろう Otsujirou
おつろう Otsurou
おといちろう Otoichirou
おとかず Otokazu
おとごろう Otogorou
おとさぶろう Otosaburou
おとし Otoshi
おとしろう Otoshirou
おとじゅろう Otojurou
おとじろう Otojirou
おとたろう Ototarou
おとひこ Otohiko
おとよし Otoyoshi
おにさぶろう Onisaburou
おにたろう Onitarou
おにひこ Onihiko
おのすけ Onosuke
おのたろう Onotarou
おのひこ Onohiko
おみひこ Omihiko
おめのすけ Omenosuke
おりたろう Oritarou
おりのすけ Orinosuke
おんいちろう On'ichirou
おんざぶろう Onzaburou
かい Kai
かいあ Kaia
かいいちろう Kaiichirou
かいさぶろう Kaisaburou
かいざぶろう Kaizaburou
かいじゅ Kaiju
かいじゅうろう Kaijuurou
かいじろう Kaijirou
かいたろう Kaitarou
かいちろう Kaichirou
かいと Kaito
かいのすけ Kainosuke
かいろう Kairou
かおひこ Kaohiko
かおる Kaoru
かがみたろう Kagamitarou
かきひこ Kakihiko
かぎたろう Kagitarou
かぎょし Kagyoshi
かくいちろう Kakuichirou
かくごろう Kakugorou
かくさぶろう Kakusaburou
かくざえもん Kakuzaemon
かくしろう Kakushirou
かくじろう Kakujirou
かくたろう Kakutarou
かくのすけ Kakunosuke
かくひこ Kakuhiko
かくまつろう Kakumatsurou
かくろう Kakurou
かぐひこ Kaguhiko
かげしろう Kageshirou
かげとし Kagetoshi
かげのり Kagenori
かげひこ Kagehiko
かげひと Kagehito
かげひろ Kagehiro
かげふみ Kagefumi
かげまさ Kagemasa
かげみち Kagemichi
かげよし Kageyoshi
かげろう Kagerou
かごたろう Kagotarou
かさたろう Kasatarou
かさぶろう Kasaburou
かざえもん Kazaemon
かざひこ Kazahiko
かしちろう Kashichirou
かしろう Kashirou
かじしろう Kajishirou
かじのすけ Kajinosuke
かじゅうろう Kajuurou
かじよし Kajiyoshi
かじろう Kajirou
かすたろう Kasutarou
かずあき Kazuaki
かずいちろう Kazuichirou
かずえ Kazue
かずえい Kazuei
かずお Kazuo
かずおみ Kazuomi
かずき Kazuki
かずきよ Kazukiyo
かずごろう Kazugorou
かずさぶろう Kazusaburou
かずし Kazushi
かずしげ Kazushige
かずじろう Kazujirou
かずたか Kazutaka
かずたろう Kazutarou
かずちか Kazuchika
かずてる Kazuteru
かずと Kazuto
かずとし Kazutoshi
かずとみ Kazutomi
かずとも Kazutomo
かずとよ Kazutoyo
かずなが Kazunaga
かずなり Kazunari
かずのすけ Kazunosuke
かずのぶ Kazunobu
かずのり Kazunori
かずはる Kazuharu
かずひこ Kazuhiko
かずひさ Kazuhisa
かずひで Kazuhide
かずひと Kazuhito
かずひら Kazuhira
かずひろ Kazuhiro
かずふみ Kazufumi
かずま Kazuma
かずまさ Kazumasa
かずみち Kazumichi
かずもと Kazumoto
かずもり Kazumori
かずや Kazuya
かずゆき Kazuyuki
かずよし Kazuyoshi
かずろう Kazurou
かぜたろう Kazetarou
かたひこ Katahiko
かたやまじろう Katayamajirou
かたろう Katarou
かついちろう Katsuichirou
かつお Katsuo
かつおみ Katsuomi
かつごろう Katsugorou
かつさぶろう Katsusaburou
かつざえもん Katsuzaemon
かつし Katsushi
かつしろう Katsushirou
かつじろう Katsujirou
かつたか Katsutaka
かつたろう Katsutarou
かつちか Katsuchika
かつと Katsuto
かつとし Katsutoshi
かつとも Katsutomo
かつなり Katsunari
かつのすけ Katsunosuke
かつのぶ Katsunobu
かつのり Katsunori
かつはる Katsuharu
かつひこ Katsuhiko
かつひさ Katsuhisa
かつひで Katsuhide
かつひと Katsuhito
かつひろ Katsuhiro
かつふみ Katsufumi
かつま Katsuma
かつまさ Katsumasa
かつみ Katsumi
かつや Katsuya
かつゆき Katsuyuki
かつよし Katsuyoshi
かつよしろう Katsuyoshirou
かつろう Katsurou
かづひこ Kazuhiko
かとし Katoshi
かとりなひこ Katorinahiko
かどたろう Kadotarou
かなと Kanato
かなとし Kanatoshi
かなよし Kanayoshi
かにたろう Kanitarou
かねあき Kaneaki
かねいちろう Kaneichirou
かねお Kaneo
かねさぶろう Kanesaburou
かねしろう Kaneshirou
かねじろう Kanejirou
かねただ Kanetada
かねたろう Kanetarou
かねつぐ Kanetsugu
かねとし Kanetoshi
かねなり Kanenari
かねのすけ Kanenosuke
かねのぶ Kanenobu
かねひこ Kanehiko
かねひろ Kanehiro
かねもち Kanemochi
かねもり Kanemori
かねやす Kaneyasu
かねよし Kaneyoshi
かのたろう Kanotarou
かのひこ Kanohiko
かまじろう Kamajirou
かまたろう Kamatarou
かまのすけ Kamanosuke
かむやまといわれひこ Kamuyamatoiwarehiko
かめいちろう Kameichirou
かめくろう Kamekurou
かめごろう Kamegorou
かめさぶろう Kamesaburou
かめしろう Kameshirou
かめじろう Kamejirou
かめたろう Kametarou
かめとし Kametoshi
かめのすけ Kamenosuke
かめはちろう Kamehachirou
かめひこ Kamehiko
かめよし Kameyoshi
かもしろう Kamoshirou
かもじろう Kamojirou
かもんのすけ Kamonnosuke
かりしこ Karishiko
かるろす Carlos
かろう Karou
かわたろう Kawatarou
かわちのすけ Kawachinosuke
かわろう Kawarou
かん Kan
かんいちろう Kan'ichirou
かんきちろう Kankichirou
かんくろう Kankurou
かんごろう Kangorou
かんさぶろう Kansaburou
かんざえもん Kanzaemon
かんざぶろう Kanzaburou
かんしろう Kanshirou
かんじ Kanji
かんじゅうろう Kanjuurou
かんじゅろう Kanjurou
かんじろう Kanjirou
かんすけ Kansuke
かんた Kanta
かんたろう Kantarou
かんのすけ Kannosuke
かんぱちろう Kanpachirou
かんろう Kanrou
かんろくろう Kanrokurou
がいざぶろう Gaizaburou
がいじろう Gaijirou
がいちろう Gaichirou
がく Gaku
がくいちろう Gakuichirou
がくさぶろう Gakusaburou
がくじろう Gakujirou
がくたろう Gakutarou
がくひこ Gakuhiko
がくろう Gakurou
がじろう Gajirou
がたろう Gatarou
がんじ Ganji
がんじろう Ganjirou
がんたろう Gantarou
がんのすけ Gannosuke
きあき Kiaki
きいち Kiichi
きいちろう Kiichirou
きうひこ Kiuhiko
きくいちろう Kikuichirou
きくえもん Kikuemon
きくごろう Kikugorou
きくさぶろう Kikusaburou
きくしろう Kikushirou
きくじゅろう Kikujurou
